assignee,count
安徽鲲腾量子科技有限公司,1
宋本庆,1
"密歇根大学董事会, 普林斯顿大学理事会",1
富士通株式会社,1
尼克根合伙Ip有限责任公司,1
山东万腾电子科技有限公司,1
山东极光智能科技有限公司,1
山东璨圆光电科技有限公司,1
山东省科学院海洋仪器仪表研究所,1
"山东省肿瘤防治研究院（山东省肿瘤医院）, 山东大学, 济南比山网络科技有限公司",1
"合肥本源量子计算科技有限责任公司, 本源科仪(成都)科技有限公司",1
合肥基点量子技术股份有限公司,1
中科酷原科技(武汉)有限公司,1
内江师范学院,1
"刘立峰, 孙赞东",1
剑桥企业有限公司,1
"加利福尼亚大学董事会, 美国纽约州立大学研究基金会",1
加泰科(深圳)科技有限公司,1
"北京中创为南京量子通信技术有限公司, 北京中创为量子通信技术有限公司",1
北京中创为量子通信技术有限公司,1
"北京中电普华信息技术有限公司, 国家电网有限公司, 国家电网有限公司信息通信分公司, 国网电力信息通信有限公司",1
北京中电聚能新技术有限公司,1
"北京中科弧光量子软件技术有限公司, 中国科学院软件研究所",1
北京中科闻歌科技股份有限公司,1
北京信而泰科技股份有限公司,1
"北京出入境检验检疫局检验检疫技术中心, 天津大学",1
"北京华美精创纳米相材料科技有限责任公司, 中国科学院理化技术研究所",1
北京卓立汉光仪器有限公司,1
北京卫星信息工程研究所,1
北京可信华泰信息技术有限公司,1
北京城建设计发展集团股份有限公司,1
"北京大学, 北京华碳元芯电子科技有限责任公司",1
"北京大学深圳研究生院, 昆山龙腾光电有限公司",1
凯恩迪股份有限公司,1
兹布里奥有限公司,1
北京工业大学,1
兰州空间技术物理研究所,1
中航机场设备有限公司,1
中芯国际集成电路制造(上海)有限公司,1
丰田自动车株式会社,1
"丰田自动车株式会社, 株式会社硫黄化学研究所",1
"丰田自动车欧洲公司, 多伦多大学管理委员会",1
之江实验室,1
"之江实验室, 浙江大学",1
五冶集团上海有限公司,1
亚德诺半导体国际无限责任公司,1
亮锐控股有限公司,1
仁荷大学校产学协力团,1
伊西康有限责任公司,1
伯拉考成像股份公司,1
佛山科学技术学院,1
信思宸医疗科技(山东)有限公司,1
光场实验室公司,1
光子公司,1
"全球能源互联网研究院有限公司, 国网上海市电力公司, 国家电网有限公司",1
兰州大学,1
北京安御道合科技有限公司,1
北京师范大学,1
合肥乐凯科技产业有限公司,1
"华能新能源股份有限公司, 中国华能集团清洁能源技术研究院有限公司",1
南京区盟链信息科技有限公司,1
"南京南瑞国盾量子技术有限公司, 南京南瑞信息通信科技有限公司, 南瑞集团有限公司, 国家电网有限公司信息通信分公司, 国网江苏省电力有限公司南京供电分公司, 国网江苏省电力有限公司信息通信分公司, 国网江苏省电力有限公司, 国家电网有限公司",1
"南京南瑞国盾量子技术有限公司, 南京南瑞信息通信科技有限公司, 南瑞集团有限公司, 国网安徽省电力有限公司信息通信分公司, 国家电网有限公司",1
"南京南瑞国盾量子技术有限公司, 南京南瑞信息通信科技有限公司, 南瑞集团有限公司, 国网浙江省电力有限公司信息通信分公司, 国家电网有限公司",1
"南京南瑞国盾量子技术有限公司, 国网电力科学研究院有限公司, 国家电网有限公司信息通信分公司, 国网山东省电力公司",1
"南京大学, 阎锋",1
南京工程学院,1
"南京明博互联网安全创新研究院有限公司, 北京邮电大学",1
南京霍普斯科技有限公司,1
南京鼓楼医院,1
南开大学,1
"南方科技大学, 复旦大学",1
"南方科技大学, 深圳扑浪创新科技有限公司",1
南通墨禾量子科技发展有限公司,1
博莱佳私人有限公司,1
卡尔蔡司工业测量技术有限公司,1
"卡里姆·S·卡里姆, 伊恩·A·坎宁安",1
卢米尼克斯股份有限公司,1
合沃物联技术（南京）有限公司,1
单一检索有限公司,1
华翊博奥(北京)量子科技有限公司,1
"北京惠盈金科技术有限公司, 北京师范大学",1
华硕电脑股份有限公司,1
北京无线电计量测试研究所,1
北京易华录信息技术股份有限公司,1
"北京智芯微电子科技有限公司, 国网信息通信产业集团有限公司, 国家电网有限公司, 国网北京市电力公司",1
"北京智芯微电子科技有限公司, 国网信息通信产业集团有限公司, 国网福建省电力有限公司福州供电公司, 国家电网有限公司",1
北京服装学院,1
北京环境特性研究所,1
"北京理工大学, 中国计量科学研究院",1
北京纳米能源与系统研究所,1
北京航天驭星科技有限公司,1
"北京航空航天大学, 中国科学院数学与系统科学研究院",1
北京计算机技术及应用研究所,1
"北京邮电大学, 国科量子通信网络有限公司",1
北京量子信息科学研究院,1
"北京量子信息科学研究院, 清华大学",1
"区链通网络有限公司, 袁振南",1
"华东师范大学, 上海纳晶科技有限公司",1
"华东师范大学, 中国科学院上海技术物理研究所",1
华北电力大学（保定）,1
华南农业大学,1
张海涛,1
弦海（上海）量子科技有限公司,1
"得克萨斯大学体系董事会, 细胞>点有限责任公司",1
王东,1
瑞士再保险有限公司,1
瑞尼斯豪公司,1
瑞鼎科技股份有限公司,1
瑟吉麦博股份公司,1
生物纳米基因公司,1
电子科技大学长三角研究院(湖州),1
白城师范学院,1
皇闽自动化科技(上海)有限公司,1
直观外科手术操作公司,1
矩阵时光数字科技有限公司,1
硅存储技术公司,1
祖克斯有限公司,1
"福州大学, 闽都创新实验室",1
福州美扬光电有限公司,1
"福建优净星环境科技有限公司, 石狮市星火铝制品有限公司",1
福建北峰通信科技股份有限公司,1
"福建海天丝路卫星科技有限公司, 问天燃阳量子(福州)科技有限公司",1
"科华恒盛股份有限公司, 漳州科华技术有限责任公司",1
科华数据股份有限公司,1
瑞典爱立信有限公司,1
"特拉维夫大学拉莫特有限公司, 巴尔-伊兰大学",1
